10/24/2015 5:15:54 PM:  EXPORT CFG: E-LAN\eplan-1-acx-l.conf                                                                        OK
10/24/2015 5:15:54 PM:  EXPORT CFG: E-LAN\eplan-1-acx-r.conf                                                                        OK
10/24/2015 5:15:54 PM:  EXPORT CFG: E-LAN\eplan-2-acx-l.conf                                                                        OK
10/24/2015 5:15:54 PM:  EXPORT CFG: E-LAN\eplan-2-acx-r.conf                                                                        OK
10/24/2015 5:15:55 PM:  EXPORT CFG: E-LAN\eplan-3-acx-l.conf                                                                        OK
10/24/2015 5:15:55 PM:  EXPORT CFG: E-LAN\eplan-3-acx-r.conf                                                                        OK
10/24/2015 5:15:55 PM:  EXPORT CFG: E-LAN\eplan-4-acx-l.conf                                                                        OK
10/24/2015 5:15:56 PM:  EXPORT CFG: E-LAN\eplan-4-acx-r.conf                                                                        OK
10/24/2015 5:15:56 PM:  EXPORT CFG: E-LAN\eplan-5-acx-l.conf                                                                        OK
10/24/2015 5:15:56 PM:  EXPORT CFG: E-LAN\eplan-5-acx-r.conf                                                                        OK
10/24/2015 5:15:56 PM:  EXPORT CFG: E-LAN\eplan-6-acx-l.conf                                                                        OK
10/24/2015 5:15:56 PM:  EXPORT CFG: E-LAN\eplan-6-acx-r.conf                                                                        OK
10/24/2015 5:15:57 PM:  EXPORT CFG: E-LAN\eplan-7-acx-l.conf                                                                        OK
10/24/2015 5:15:57 PM:  EXPORT CFG: E-LAN\eplan-7-acx-r.conf                                                                        OK
10/24/2015 5:15:57 PM:  EXPORT CFG: E-LAN\eplan-8-acx-l.conf                                                                        OK
10/24/2015 5:15:57 PM:  EXPORT CFG: E-LAN\eplan-8-acx-r.conf                                                                        OK
10/24/2015 5:15:58 PM:  EXPORT CFG: E-LAN\eplan-15-acx-l.conf                                                                       OK
10/24/2015 5:15:58 PM:  EXPORT CFG: E-LAN\eplan-15-acx-r.conf                                                                       OK
10/24/2015 5:15:58 PM:  EXPORT CFG: E-LAN\evplan-1-acx-l.conf                                                                       OK
10/24/2015 5:15:58 PM:  EXPORT CFG: E-LAN\evplan-1-acx-r.conf                                                                       OK
10/24/2015 5:15:58 PM:  EXPORT CFG: E-LAN\evplan-2-acx-l.conf                                                                       OK
10/24/2015 5:15:58 PM:  EXPORT CFG: E-LAN\evplan-2-acx-r.conf                                                                       OK
10/24/2015 5:15:59 PM:  EXPORT CFG: E-LAN\evplan-3-acx-l.conf                                                                       OK
10/24/2015 5:15:59 PM:  EXPORT CFG: E-LAN\evplan-3-acx-r.conf                                                                       OK
10/24/2015 5:15:59 PM:  EXPORT CFG: E-LAN\evplan-4-acx-l.conf                                                                       OK
10/24/2015 5:15:59 PM:  EXPORT CFG: E-LAN\evplan-4-acx-r.conf                                                                       OK
